census_tract,county,state,pct_black_african_amer,pct_amer_indian_alaska_native,pct_asian,pct_native_hawaii_pacific,pct_two_or_more_races,pct_white,pct_hispanic_latino,pct_other_races,pct_age_under_10,pct_age_10_to_64,pct_age_over_64,total_threshold_criteria_exceeded,total_categories_exceeded,disadvantaged_without_neighbors,disadvantaged_with_neighbors_relaxed_low_inc_threshold,disadvantaged,total_population,adj_pct_indiv_below_200_fpl_percentile,adj_pct_indiv_below_200_fpl,is_low_income,expected_agri_loss_rate_nri,expected_building_loss_rate_nri,expected_population_loss_rate_nri,share_of_properties_fire_risk_in_30_years,energy_burden,housing_burden_pct,median_value_owner_occupied_housing_units,tract_covered_impervious_surface_cropland,percentile_tract_covered_impervious_surface_cropland,tract_min_35_acres,asthma_among_18plus_adults,diabetes_among_18plus_adults,heart_disease_among_18plus_adults,life_expectancy_years,unemployment_pct,pct_indiv_below_200_fpl,pct_indiv_below_100_fpl,merge_id_census_tract,developed_open_space_area21,developed_low_intensity_area22,developed_med_intensity_area23,developed_high_intensity_area24,developed_open_space_prop21,developed_low_intensity_prop22,developed_med_intensity_prop23,developed_high_intensity_prop24,merge_id_county,min_temp_celsius,max_temp_celsius,avg_temp_celsius,st_dev_temp_celsius,year_temp,avg_temp_fahren
06001401100,Alameda County,California,0.08,0.0,0.19,0.0,0.07,0.52,0.1,0.06,0.08,0.84,0.06,0,0.0,False,False,False,4287.0,0.43,0.19,False,0.0,0.0005,0.0,0.0,0.0,28.0,889800.0,7703.0,93.0,True,930.0,590.0,260.0,80.3,3.0,28.0,12.0,06001401100,4500.0,34200.0,458100.0,387900.0,0.005086469989827,0.038657171922686,0.517802644964395,0.438453713123093,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401200,Alameda County,California,0.11,0.0,0.11,0.0,0.04,0.61,0.12,0.04,0.08,0.82,0.08,0,0.0,False,False,False,2619.0,0.24,0.09,False,0.0,0.0005,0.0,0.0,1.0,21.0,873800.0,6917.0,88.0,True,900.0,610.0,310.0,80.0,4.0,20.0,10.0,06001401200,34200.0,50400.0,458100.0,125100.0,0.051212938005391,0.075471698113208,0.685983827493261,0.18733153638814,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401300,Alameda County,California,0.29,0.0,0.16,0.0,0.07,0.38,0.1,0.03,0.03,0.81,0.14,8,6.0,True,False,True,3921.0,0.69,0.33,True,0.0,0.0006,0.0,0.0,1.0,36.0,783100.0,8312.0,96.0,True,930.0,1170.0,590.0,75.8,5.0,42.0,21.0,06001401300,,14400.0,303300.0,542700.0,,0.01673640167364,0.352510460251046,0.630753138075314,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401400,Alameda County,California,0.31,0.01,0.12,0.0,0.09,0.25,0.18,0.12,0.08,0.84,0.07,12,7.0,True,False,True,4732.0,0.77,0.39,True,0.0,0.0005,0.0,0.0,1.0,51.0,546700.0,7902.0,94.0,True,1100.0,1250.0,530.0,73.5,6.0,54.0,34.0,06001401400,6300.0,19800.0,391500.0,336600.0,0.008353221957041,0.026252983293556,0.51909307875895,0.446300715990453,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401500,Alameda County,California,0.37,0.0,0.04,0.0,0.08,0.36,0.14,0.09,0.04,0.84,0.1,0,0.0,False,False,False,2839.0,0.56,0.26,False,0.0,0.0005,0.0,0.0,1.0,31.0,561200.0,7768.0,93.0,True,1000.0,1060.0,440.0,77.3,6.0,35.0,17.0,06001401500,2700.0,32400.0,226800.0,204300.0,0.005791505791506,0.069498069498069,0.486486486486487,0.438223938223938,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401600,Alameda County,California,0.35,0.0,0.1,0.0,0.06,0.28,0.2,0.1,0.06,0.88,0.05,8,5.0,True,False,True,2289.0,0.68,0.32,True,0.0,0.0005,0.0,0.0,1.0,41.0,577100.0,8559.0,97.0,True,1040.0,919.0,360.0,77.59,9.0,41.0,19.0,06001401600,7200.0,10800.0,169200.0,452700.0,0.011251758087201,0.016877637130802,0.264416315049226,0.707454289732771,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401700,Alameda County,California,0.17,0.0,0.12,0.0,0.09,0.38,0.26,0.13,0.12,0.8,0.07,0,0.0,False,False,False,3018.0,0.26,0.11,False,0.0,0.0005,0.0,0.0,1.0,27.0,585400.0,4025.0,52.0,True,900.0,660.0,270.0,,5.0,18.0,10.0,06001401700,76500.0,396000.0,1492200.0,3601800.0,0.013318708868693,0.068943904732059,0.259793168285804,0.62707615167659,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401800,Alameda County,California,0.38,0.0,0.05,0.0,0.04,0.33,0.2,0.14,0.1,0.8,0.08,0,0.0,False,False,False,1801.0,0.53,0.24,False,0.0,0.0005,0.0,0.0,1.0,22.0,552300.0,7303.0,91.0,True,1090.0,960.0,390.0,77.59,6.0,34.0,18.0,06001401800,900.0,18900.0,198900.0,78300.0,0.003030303030303,0.063636363636364,0.66969696969697,0.263636363636364,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001402200,Alameda County,California,0.32,0.01,0.16,0.0,0.07,0.29,0.16,0.08,0.11,0.79,0.09,9,5.0,True,False,True,2477.0,0.76,0.39,True,0.0,0.0005,0.0,0.0,1.0,34.0,684100.0,7995.0,94.0,True,990.0,1030.0,440.0,76.59,6.0,45.0,25.0,06001402200,,33300.0,296100.0,385200.0,,0.046599496221662,0.414357682619647,0.53904282115869,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001402400,Alameda County,California,0.5,0.0,0.12,0.0,0.06,0.24,0.09,0.02,0.08,0.74,0.16,2,1.0,True,False,True,2866.0,0.49,0.22,False,0.0,0.0005,0.0,0.0,1.0,43.0,610800.0,7390.0,91.0,True,1030.0,1240.0,540.0,78.09,3.0,37.0,15.0,06001402400,900.0,17100.0,222300.0,97200.0,0.002666666666667,0.050666666666667,0.658666666666667,0.288,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001402500,Alameda County,California,0.59,0.0,0.13,0.0,0.08,0.1,0.14,0.06,0.17,0.72,0.09,11,7.0,True,False,True,1781.0,0.94,0.59,True,0.0,0.0005,0.0,0.0,2.0,44.0,720000.0,7096.0,89.0,True,1340.0,1510.0,580.0,,14.0,66.0,35.0,06001402500,27000.0,24300.0,178200.0,136800.0,0.073710073710074,0.066339066339066,0.486486486486487,0.373464373464373,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001402600,Alameda County,California,0.25,0.0,0.38,0.0,0.06,0.14,0.16,0.04,0.05,0.68,0.25,13,7.0,True,False,True,1243.0,0.9,0.53,True,0.0,0.0005,0.0,0.0,1.0,47.0,557400.0,7306.0,91.0,True,950.0,1860.0,850.0,75.4,10.0,62.0,35.0,06001402600,1800.0,25200.0,183600.0,108900.0,0.005633802816901,0.07887323943662,0.574647887323944,0.340845070422535,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001402700,Alameda County,California,0.42,0.0,0.1,0.0,0.03,0.23,0.2,0.13,0.09,0.82,0.07,0,0.0,False,True,True,1890.0,0.51,0.23,False,0.0,0.0005,0.0,0.0,1.0,24.0,673400.0,7740.0,93.0,True,1080.0,1040.0,409.0,77.5,3.0,38.0,27.0,06001402700,7200.0,7200.0,207900.0,173700.0,0.018181818181818,0.018181818181818,0.525,0.438636363636364,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001402800,Alameda County,California,0.38,0.0,0.18,0.0,0.09,0.28,0.06,0.02,0.05,0.75,0.19,8,6.0,True,False,True,4480.0,0.71,0.35,True,0.0,0.0006,0.0,0.0,0.0,29.0,791200.0,9036.0,98.0,True,969.0,1370.0,630.0,76.0,8.0,45.0,29.0,06001402800,900.0,2700.0,47700.0,345600.0,0.002267573696145,0.006802721088435,0.120181405895692,0.870748299319728,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001402900,Alameda County,California,0.18,0.0,0.37,0.0,0.05,0.21,0.17,0.12,0.0,0.71,0.28,9,6.0,True,False,True,1406.0,0.69,0.34,True,0.0,0.0006,0.0,0.0,0.0,39.0,,8785.0,98.0,True,910.0,1430.0,690.0,79.59,5.0,50.0,25.0,06001402900,8100.0,6300.0,58500.0,319500.0,0.020642201834862,0.01605504587156,0.149082568807339,0.814220183486238,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403000,Alameda County,California,0.04,0.0,0.81,0.02,0.02,0.06,0.02,0.01,0.04,0.55,0.39,13,7.0,True,False,True,2905.0,0.84,0.45,True,0.0,0.0005,0.0,0.0,1.0,50.0,455400.0,9027.0,98.0,True,720.0,2380.0,1250.0,81.09,7.0,54.0,31.0,06001403000,900.0,3600.0,52200.0,297900.0,0.00253807106599,0.010152284263959,0.147208121827411,0.84010152284264,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403100,Alameda County,California,0.17,0.0,0.38,0.0,0.04,0.27,0.13,0.04,0.05,0.82,0.12,8,6.0,True,False,True,2101.0,0.69,0.33,True,0.0,0.0005,0.0,0.0,0.0,35.0,608200.0,8584.0,97.0,True,830.0,1040.0,430.0,80.0,5.0,41.0,26.0,06001403100,1800.0,7200.0,79200.0,259200.0,0.005181347150259,0.020725388601036,0.227979274611399,0.746113989637306,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403300,Alameda County,California,0.07,0.02,0.52,0.0,0.05,0.26,0.06,0.01,0.03,0.75,0.2,8,6.0,True,False,True,4178.0,0.66,0.31,True,0.0,0.0009,0.0,0.0,0.0,31.0,503200.0,7514.0,92.0,True,819.0,1080.0,470.0,84.5,6.0,40.0,26.0,06001403300,22500.0,46800.0,250200.0,595800.0,0.024557956777996,0.051080550098232,0.273084479371316,0.650294695481336,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403400,Alameda County,California,0.19,0.0,0.25,0.0,0.06,0.39,0.08,0.04,0.04,0.74,0.21,0,0.0,False,False,False,4340.0,0.36,0.16,False,0.0061,0.0007,0.0,0.0,0.0,26.0,593200.0,2987.0,38.0,True,790.0,830.0,430.0,81.9,1.0,24.0,11.0,06001403400,280800.0,130500.0,162900.0,195300.0,0.221433640880057,0.10290986515259,0.128459900638751,0.154009936124911,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403501,Alameda County,California,0.24,0.01,0.18,0.0,0.11,0.37,0.12,0.01,0.07,0.74,0.17,7,6.0,True,False,True,4492.0,0.68,0.32,True,0.0,0.0012,0.0,0.0,1.0,40.0,664100.0,7770.0,93.0,True,919.0,1010.0,480.0,80.0,3.0,38.0,17.0,06001403501,11700.0,54000.0,270900.0,331200.0,0.017520215633423,0.080862533692722,0.405660377358491,0.495956873315364,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403502,Alameda County,California,0.25,0.0,0.12,0.0,0.1,0.42,0.11,0.03,0.03,0.83,0.13,0,0.0,False,False,False,2044.0,0.41,0.18,False,0.0,0.0006,0.0,0.0,0.0,27.0,464500.0,7501.0,92.0,True,930.0,650.0,290.0,79.4,4.0,29.0,9.0,06001403502,900.0,7200.0,131400.0,41400.0,0.004975124378109,0.039800995024876,0.72636815920398,0.228855721393035,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403600,Alameda County,California,0.43,0.0,0.11,0.0,0.07,0.29,0.13,0.04,0.09,0.8,0.1,0,0.0,False,False,False,5570.0,0.53,0.24,False,0.0,0.0006,0.0,0.0,0.0,30.0,549000.0,7437.0,91.0,True,950.0,780.0,340.0,80.7,5.0,31.0,10.0,06001403600,,18000.0,288900.0,85500.0,,0.045871559633028,0.736238532110092,0.217889908256881,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403701,Alameda County,California,0.26,0.0,0.12,0.0,0.05,0.43,0.12,0.05,0.04,0.77,0.18,0,0.0,False,False,False,2968.0,0.31,0.13,False,0.0,0.0006,0.0,0.0,0.0,31.0,425900.0,8018.0,95.0,True,890.0,730.0,430.0,84.4,4.0,23.0,14.0,06001403701,900.0,4500.0,82800.0,86400.0,0.005154639175258,0.025773195876289,0.474226804123711,0.494845360824742,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403702,Alameda County,California,0.15,0.0,0.17,0.0,0.05,0.51,0.09,0.06,0.05,0.77,0.16,0,0.0,False,False,False,1930.0,0.32,0.13,False,0.0,0.001,0.0,0.0,0.0,21.0,724700.0,7514.0,92.0,True,900.0,700.0,370.0,,2.0,22.0,8.0,06001403702,12600.0,9900.0,84600.0,91800.0,0.063348416289593,0.049773755656109,0.425339366515837,0.461538461538462,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403800,Alameda County,California,0.12,0.0,0.11,0.0,0.05,0.67,0.03,0.0,0.07,0.78,0.13,0,0.0,False,False,False,3351.0,0.16,0.06,False,0.0,0.0009,0.0,0.0,0.0,16.0,1052700.0,6514.0,85.0,True,840.0,600.0,310.0,83.8,2.0,13.0,5.0,06001403800,22500.0,122400.0,398700.0,106200.0,0.034626038781163,0.188365650969529,0.613573407202216,0.163434903047091,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001403900,Alameda County,California,0.13,0.0,0.16,0.0,0.07,0.57,0.07,0.01,0.06,0.77,0.16,0,0.0,False,False,False,4051.0,0.4,0.17,False,0.0,0.0007,0.0,0.0,0.0,28.0,664700.0,6277.0,82.0,True,860.0,630.0,330.0,86.9,5.0,23.0,8.0,06001403900,33300.0,67500.0,342000.0,49500.0,0.06764168190128,0.137111517367459,0.694698354661792,0.10054844606947,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404000,Alameda County,California,0.08,0.01,0.1,0.02,0.09,0.55,0.16,0.04,0.05,0.82,0.11,0,0.0,False,False,False,2895.0,0.23,0.09,False,0.0,0.0008,0.0,0.0,0.0,23.0,629600.0,7184.0,90.0,True,869.0,560.0,280.0,82.5,3.0,16.0,6.0,06001404000,900.0,32400.0,234900.0,102600.0,0.002427184466019,0.087378640776699,0.633495145631068,0.276699029126214,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404101,Alameda County,California,0.07,0.0,0.12,0.0,0.08,0.62,0.07,0.03,0.03,0.79,0.16,0,0.0,False,False,False,3017.0,0.13,0.04,False,0.0,0.0007,0.0,0.0,0.0,21.0,801500.0,6827.0,87.0,True,819.0,570.0,330.0,82.7,3.0,9.0,6.0,06001404101,5400.0,65700.0,407700.0,92700.0,0.009448818897638,0.11496062992126,0.713385826771654,0.162204724409449,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404102,Alameda County,California,0.04,0.01,0.12,0.0,0.05,0.66,0.09,0.03,0.04,0.62,0.32,0,0.0,False,False,False,2653.0,0.47,0.21,False,0.0,0.0015,0.0,0.0,0.0,27.0,682700.0,7138.0,90.0,True,840.0,860.0,610.0,79.7,2.0,26.0,9.0,06001404102,1800.0,29700.0,127800.0,69300.0,0.007874015748031,0.12992125984252,0.559055118110236,0.303149606299213,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404200,Alameda County,California,0.06,0.0,0.18,0.0,0.06,0.61,0.05,0.01,0.13,0.68,0.17,0,0.0,False,False,False,3877.0,0.02,0.0,False,0.0657,0.0006,0.0,0.0,1.0,8.0,1220500.0,2817.0,35.0,True,819.0,700.0,430.0,84.2,9.0,7.0,4.0,06001404200,1335600.0,663300.0,423000.0,76500.0,0.489607390300231,0.243154074562851,0.155064335202903,0.028043549983504,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404300,Alameda County,California,0.01,0.0,0.13,0.0,0.12,0.65,0.11,0.05,0.13,0.66,0.2,0,0.0,False,False,False,3443.0,0.02,0.0,False,0.0,0.0007,0.0,0.0,0.0,8.0,1567400.0,3966.0,52.0,True,790.0,690.0,420.0,83.3,3.0,3.0,3.0,06001404300,502200.0,666000.0,556200.0,37800.0,0.271797369702874,0.360448124695567,0.301022893326839,0.020457866536775,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404400,Alameda County,California,0.02,0.0,0.12,0.0,0.12,0.67,0.05,0.0,0.1,0.7,0.19,0,0.0,False,False,False,5628.0,0.09,0.02,False,0.0415,0.0144,0.0,0.0,1.0,13.0,995000.0,1851.0,23.0,True,800.0,680.0,380.0,83.5,1.0,9.0,4.0,06001404400,1890900.0,664200.0,322200.0,38700.0,0.458733624454148,0.161135371179039,0.078165938864629,0.00938864628821,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404501,Alameda County,California,0.06,0.0,0.11,0.0,0.07,0.66,0.06,0.0,0.14,0.64,0.21,0,0.0,False,False,False,1809.0,0.02,0.0,False,0.0,0.0005,0.0,0.0,1.0,3.0,1242200.0,2419.0,30.0,True,770.0,740.0,450.0,86.1,3.0,3.0,2.0,06001404501,566100.0,379800.0,54900.0,1800.0,0.516844700082169,0.346754313886606,0.05012325390304,0.00164338537387,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404502,Alameda County,California,0.01,0.0,0.1,0.0,0.06,0.75,0.07,0.01,0.15,0.67,0.17,0,0.0,False,False,False,5891.0,0.02,0.0,False,0.0,0.0088,0.0,0.0,1.0,5.0,1001200.0,1979.0,25.0,True,810.0,730.0,430.0,82.4,2.0,3.0,0.0,06001404502,1877400.0,511200.0,184500.0,36900.0,0.61137162954279,0.166471277842907,0.060082063305979,0.012016412661196,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404600,Alameda County,California,0.03,0.0,0.13,0.02,0.05,0.69,0.04,0.02,0.09,0.65,0.24,0,0.0,False,False,False,4625.0,0.15,0.05,False,0.0059,0.0211,0.0,0.0,1.0,8.0,1008300.0,896.0,12.0,True,810.0,790.0,480.0,84.0,5.0,10.0,3.0,06001404600,2038500.0,323100.0,161100.0,14400.0,0.421866269323896,0.066865338051779,0.033339541814118,0.002980070776681,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404700,Alameda County,California,0.05,0.0,0.13,0.0,0.03,0.69,0.09,0.01,0.13,0.67,0.19,0,0.0,False,False,False,2137.0,0.02,0.0,False,0.0118,0.0008,0.0,0.0,0.0,3.0,1044200.0,2545.0,32.0,True,810.0,740.0,420.0,82.5,3.0,4.0,3.0,06001404700,490500.0,353700.0,148500.0,6300.0,0.410082768999248,0.295711060948081,0.124153498871332,0.005267118133935,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404800,Alameda County,California,0.15,0.03,0.11,0.0,0.1,0.49,0.14,0.01,0.08,0.75,0.16,0,0.0,False,False,False,2647.0,0.26,0.11,False,0.0,0.0006,0.0,0.0,1.0,28.0,870300.0,5139.0,68.0,True,890.0,840.0,420.0,85.2,6.0,21.0,6.0,06001404800,105300.0,151200.0,305100.0,40500.0,0.167381974248927,0.240343347639485,0.484978540772532,0.064377682403433,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001404900,Alameda County,California,0.09,0.01,0.16,0.0,0.07,0.56,0.11,0.0,0.13,0.66,0.19,0,0.0,False,False,False,4197.0,0.19,0.07,False,0.0,0.001,0.0,0.0,1.0,15.0,880200.0,6284.0,82.0,True,850.0,819.0,400.0,85.8,1.0,11.0,3.0,06001404900,48600.0,120600.0,738000.0,103500.0,0.048085485307213,0.119323241317898,0.730186999109528,0.102404274265361,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001405000,Alameda County,California,0.11,0.0,0.11,0.0,0.09,0.61,0.07,0.01,0.12,0.67,0.19,0,0.0,False,False,False,3394.0,0.13,0.04,False,0.0,0.0006,0.0,0.0,0.0,10.0,1037200.0,5254.0,70.0,True,840.0,700.0,370.0,81.3,2.0,8.0,4.0,06001405000,114300.0,226800.0,388800.0,52200.0,0.140954495005549,0.27968923418424,0.479467258601554,0.064372918978912,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
